"item_name","week","week_start_date","total_qty_ordered"
"Hellmann's Real Mayonnaise, 1 Gallon",7,"2025-11-12","1"
"Hellmann's Real Mayonnaise, 1 Gallon",8,"2025-11-19","1"
"Hellmann's Real Mayonnaise, 1 Gallon",9,"2025-11-26","1"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",1,"2025-10-01","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",4,"2025-10-22","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",5,"2025-10-29","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",6,"2025-11-05","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",7,"2025-11-12","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",8,"2025-11-19","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",9,"2025-11-26","2"
"Honeycrisp Apples, 5 lbs",6,"2025-11-05","1"
"Honeycrisp Apples, 5 lbs",7,"2025-11-12","1"
"Honeycrisp Apples, 5 lbs",8,"2025-11-19","1"
"Kellogg's Cereal Cups, Family Variety Pack, 12 ct",6,"2025-11-05","3"
"Kellogg's Cereal Cups, Family Variety Pack, 12 ct",7,"2025-11-12","3"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",7,"2025-11-12","5"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",8,"2025-11-19","5"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",9,"2025-11-26","5"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",2,"2025-10-08","3"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",3,"2025-10-15","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",4,"2025-10-22","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",5,"2025-10-29","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",6,"2025-11-05","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",7,"2025-11-12","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",8,"2025-11-19","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",9,"2025-11-26","2"
"Kikkoman Soy Sauce, 1 Gallon",8,"2025-11-19","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",1,"2025-10-01","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",3,"2025-10-15","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",4,"2025-10-22","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",5,"2025-10-29","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",6,"2025-11-05","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",7,"2025-11-12","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",8,"2025-11-19","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",9,"2025-11-26","1"
"Kinder’s Organic Seasoning, Garlic Butter, 12.2 oz",1,"2025-10-01","1"
"King's Hawaiian Sweet Rolls, Original, 32 ct",2,"2025-10-08","2"
"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs",4,"2025-10-22","1"
"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs",5,"2025-10-29","1"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",1,"2025-10-01","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",2,"2025-10-08","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",3,"2025-10-15","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",4,"2025-10-22","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",5,"2025-10-29","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",6,"2025-11-05","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",7,"2025-11-12","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",8,"2025-11-19","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",9,"2025-11-26","3"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",1,"2025-10-01","8"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",2,"2025-10-08","8"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",4,"2025-10-22","4"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",7,"2025-11-12","5"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",8,"2025-11-19","5"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",9,"2025-11-26","5"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",1,"2025-10-01","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",2,"2025-10-08","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",3,"2025-10-15","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",4,"2025-10-22","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",5,"2025-10-29","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",6,"2025-11-05","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",7,"2025-11-12","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",8,"2025-11-19","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",9,"2025-11-26","3"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",1,"2025-10-01","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",2,"2025-10-08","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",3,"2025-10-15","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",4,"2025-10-22","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",5,"2025-10-29","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",6,"2025-11-05","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",7,"2025-11-12","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",8,"2025-11-19","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",9,"2025-11-26","2"
"Kirkland Signature Coarse Ground Malabar Black Pepper, 12.7 oz",6,"2025-11-05","1"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",1,"2025-10-01","4"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",2,"2025-10-08","2"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",3,"2025-10-15","4"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",4,"2025-10-22","8"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",5,"2025-10-29","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",6,"2025-11-05","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",7,"2025-11-12","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",8,"2025-11-19","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",9,"2025-11-26","6"
"Kirkland Signature Granulated Garlic, 18 oz",6,"2025-11-05","1"
"Kirkland Signature IQF Blueberries, 5 lbs",4,"2025-10-22","1"
"Kirkland Signature IQF Blueberries, 5 lbs",5,"2025-10-29","1"
"Kirkland Signature IQF Blueberries, 5 lbs",6,"2025-11-05","1"
"Kirkland Signature IQF Blueberries, 5 lbs",7,"2025-11-12","1"
"Kirkland Signature IQF Blueberries, 5 lbs",8,"2025-11-19","1"
"Kirkland Signature IQF Blueberries, 5 lbs",9,"2025-11-26","1"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",1,"2025-10-01","8"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",2,"2025-10-08","12"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",3,"2025-10-15","15"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",4,"2025-10-22","20"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",5,"2025-10-29","20"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",6,"2025-11-05","20"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",7,"2025-11-12","20"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",8,"2025-11-19","16"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",9,"2025-11-26","16"
"Kirkland Signature Medium Roast Coffee, 2.5 lbs",7,"2025-11-12","1"
"Kirkland Signature Medium Roast Coffee, 2.5 lbs",8,"2025-11-19","1"
"Kirkland Signature Medium Roast Coffee, 2.5 lbs",9,"2025-11-26","1"
"Kirkland Signature Microwave Popcorn, 3.3 oz, 44 ct",7,"2025-11-12","1"
"Kirkland Signature Microwave Popcorn, 3.3 oz, 44 ct",8,"2025-11-19","1"
"Kirkland Signature Microwave Popcorn, 3.3 oz, 44 ct",9,"2025-11-26","1"
"Kirkland Signature Non Fat Milk, 1 Gallon",1,"2025-10-01","5"
"Kirkland Signature Non Fat Milk, 1 Gallon",2,"2025-10-08","5"
"Kirkland Signature Non Fat Milk, 1 Gallon",3,"2025-10-15","8"
"Kirkland Signature Non Fat Milk, 1 Gallon",4,"2025-10-22","4"
"Kirkland Signature Non Fat Milk, 1 Gallon",5,"2025-10-29","4"
"Kirkland Signature Non Fat Milk, 1 Gallon",6,"2025-11-05","4"
"Kirkland Signature Non Fat Milk, 1 Gallon",7,"2025-11-12","5"
"Kirkland Signature Non Fat Milk, 1 Gallon",8,"2025-11-19","5"
"Kirkland Signature Non Fat Milk, 1 Gallon",9,"2025-11-26","5"
"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",4,"2025-10-22","3"
"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",5,"2025-10-29","3"
"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",6,"2025-11-05","3"
"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",7,"2025-11-12","3"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",1,"2025-10-01","4"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",2,"2025-10-08","8"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",3,"2025-10-15","10"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",4,"2025-10-22","10"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",6,"2025-11-05","0"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",7,"2025-11-12","10"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",8,"2025-11-19","10"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",9,"2025-11-26","10"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",1,"2025-10-01","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",2,"2025-10-08","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",3,"2025-10-15","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",4,"2025-10-22","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",5,"2025-10-29","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",6,"2025-11-05","24"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",7,"2025-11-12","20"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",8,"2025-11-19","20"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs",9,"2025-11-26","20"
"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz",3,"2025-10-15","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",1,"2025-10-01","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",2,"2025-10-08","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",3,"2025-10-15","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",4,"2025-10-22","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",5,"2025-10-29","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",6,"2025-11-05","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",7,"2025-11-12","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",8,"2025-11-19","1"
"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct",9,"2025-11-26","1"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",1,"2025-10-01","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",2,"2025-10-08","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",3,"2025-10-15","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",4,"2025-10-22","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",5,"2025-10-29","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",6,"2025-11-05","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",7,"2025-11-12","3"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",8,"2025-11-19","4"
"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct",9,"2025-11-26","4"
"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 50 lbs",4,"2025-10-22","1"
"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 50 lbs",5,"2025-10-29","1"
"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 50 lbs",9,"2025-11-26","1"
"Kirkland Signature Three Berry Blend, 4 lbs",1,"2025-10-01","5"
"Kirkland Signature Three Berry Blend, 4 lbs",2,"2025-10-08","5"
"Kirkland Signature Three Berry Blend, 4 lbs",3,"2025-10-15","0"
